STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform
3256.0,"DAL LAKE AT ENTRY POINT OF 
TALIBAL NALLAH",LAKE,"JAMMU & 
KASHMIR",7.5,28.0,5.0,11.0,7.2,8.2,119.0,407.0,1.3,5.3,,,,,,
3257.0,DAL LAKE AT HABAK,LAKE,"JAMMU & 
KASHMIR",5.2,28.0,4.8,10.8,7.2,7.9,239.0,440.0,3.5,10.4,,,,,,
3258.0,DAL LAKE AT HAZRATBAL,LAKE,"JAMMU & 
KASHMIR",6.0,28.0,5.0,13.2,7.2,8.6,188.0,464.0,3.0,6.6,,,,,,
3259.0,DAL LAKE AT DHOBIGHAT,LAKE,"JAMMU & 
KASHMIR",5.4,28.0,4.5,11.7,7.2,8.7,168.0,352.0,2.0,6.5,,,,,,
3260.0,DAL LAKE AT SONALANK,LAKE,"JAMMU & 
KASHMIR",3.3,28.0,6.2,10.5,7.4,8.3,130.0,342.0,1.0,3.0,,,,,,
3261.0,"DAL LAKE AT NISHAT, WATER 
INTAKE POINT OF NISHAT 
WATER TREATMENT PLANT",LAKE,"JAMMU & 
KASHMIR",4.4,28.0,5.1,11.0,7.3,8.6,103.0,235.0,1.0,3.5,,,,,,
3262.0,"DAL LAKE AT NIGEEN, WATER 
INTAKE PT OF POKHRIBAL 
WATER TREATMENT PLANT",LAKE,"JAMMU & 
KASHMIR",4.8,29.0,5.6,11.2,7.3,8.9,117.0,303.0,1.4,3.3,,,,,,
3263.0,"WULAR LAKE AT NINGLI 
NALLAH",LAKE,"JAMMU & 
KASHMIR",6.5,23.3,3.6,9.5,7.6,8.0,110.0,282.0,1.3,2.6,,,,,,
3264.0,WULAR LAKE AT WATLAB,LAKE,"JAMMU & 
KASHMIR",6.0,24.6,2.0,10.4,7.5,7.8,120.0,300.0,2.0,4.1,,,,,,
3265.0,WULAR LAKE ATKANIBATH,LAKE,"JAMMU & 
KASHMIR",6.0,23.0,3.0,9.6,7.4,8.0,115.0,230.0,1.6,6.1,,,,,,
3266.0,"WULAR LAKE AT ENTRY PT OF 
ERIN NALLAH",LAKE,"JAMMU & 
KASHMIR",5.8,27.6,4.3,8.6,7.4,8.0,120.0,240.0,1.8,4.7,,,,,,
2394.0,TOP CHACHI LAKE,LAKE,JHARKHAND,17.0,37.5,6.9,7.6,7.2,7.5,,,1.0,2.0,,,,,,
2398.0,"DIMNA LAKE, DIMNA",LAKE,JHARKHAND,11.5,32.0,7.5,8.2,6.7,7.8,210.0,292.0,0.2,6.4,0.6,1.2,,,,
2393.0,"SHIV GANGA POND, DEOGHAR",POND,JHARKHAND,23.0,36.0,3.0,8.4,7.7,8.0,340.0,340.0,2.7,2.7,,,,,,
1388.0,"ULSOOR LAKE TRAINING 
CENTRE OF FISH BREEDING, 
KARNATAKA",LAKE,KARNATAKA,28.0,36.0,4.2,9.8,7.4,9.3,410.0,666.0,3.0,8.0,0.55,2.0,330.0,79000.0,1090.0,542000.0
1446.0,"HEBALLA VALLEY LAKE AT D-S 
ROAD BRIDGE NR. MANDYA, 
KARNATAKA",LAKE,KARNATAKA,23.0,27.0,4.0,6.4,7.6,8.4,496.0,1596.0,2.0,5.7,0.24,5.8,330.0,1700.0,2100.0,6300.0
3582.0,HEBBAL LAKE,LAKE,KARNATAKA,21.0,32.0,2.8,5.0,6.4,9.2,1203.0,2540.0,6.5,24.8,0.1,1.38,1100.0,2600.0,4700.0,7000.0
3583.0,KUKKARAHALLI LAKE,LAKE,KARNATAKA,24.0,32.0,5.2,7.5,7.4,9.5,526.0,950.0,4.0,9.0,0.2,0.68,920.0,1700.0,4600.0,6300.0
3584.0,DALAVAI LAKE,LAKE,KARNATAKA,24.0,30.0,1.1,3.2,7.0,8.6,754.0,1174.0,10.4,24.0,0.13,4.2,1700.0,4300.0,6300.0,8400.0
3585.0,YENNEHOLE LAKE,LAKE,KARNATAKA,25.0,34.0,1.2,3.4,7.2,8.6,733.0,1241.0,10.6,24.6,0.3,3.54,1700.0,2700.0,6300.0,8400.0
3586.0,LIMBHABUDI LAKE,LAKE,KARNATAKA,24.0,32.0,3.3,5.8,7.5,9.5,310.0,1334.0,4.2,15.6,0.15,0.63,930.0,2300.0,4700.0,6300.0
3587.0,SHETTYKERE LAKE,LAKE,KARNATAKA,24.0,32.0,4.0,6.2,7.9,9.2,469.0,1109.0,4.0,10.8,0.24,0.6,920.0,2100.0,4600.0,6300.0
3591.0,KEMPAMBUDHI LAKE,LAKE,KARNATAKA,21.0,26.0,4.2,7.7,6.8,7.3,282.0,600.0,4.0,5.0,0.7,7.49,210.0,4900.0,1720.0,22100.0
3592.0,YEDIYUR LAKE,LAKE,KARNATAKA,21.0,35.0,0.7,8.0,6.5,8.0,250.0,664.0,2.0,25.0,0.31,4.57,790.0,490000.0,3480.0,1090000.0
3593.0,"ULSOOR LAKE TRAINING 
CENTRE OF FISH BREEDING, 
KARNATAKA",LAKE,KARNATAKA,27.0,36.0,4.2,9.8,6.9,9.3,330.0,666.0,3.0,8.0,0.41,2.0,270.0,79000.0,1090.0,542000.0
3601.0,KARIHOBANAHALLI LAKE,LAKE,KARNATAKA,25.0,34.0,1.0,7.0,6.6,7.5,1417.0,4960.0,6.6,62.0,2.7,11.0,11000.0,330000.0,109000.0,3480000.0
